2018年 医 保 药 品 目 录,,,,,,,,,,
,,,,,,,,,,,
序号,医保项目编码,医保项目名称,统计类别,目录等级,医疗目录,工伤目录,生育目录,普通人员支付类型,特殊人群支付类型,居民支付类型
919,N210300001_66,X线计算机体层(螺旋CT)平扫+增强+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
920,N210300001_67,X线计算机体层(CT)平扫+增强+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
921,N210300001_68,X线计算机体层(螺旋CT)平扫+增强+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
922,N210300001_69,X线计算机体层(CT)平扫+增强+三维重建+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
923,N210300001_70,X线计算机体层(螺旋CT)平扫+增强+三维重建+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
924,N210300001_71,X线计算机体层(螺旋CT)平扫+增强+三维重建+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
925,N210300001_72,X线计算机体层(螺旋CT)平扫+增强+三维重建+单次多层+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
926,N210300002_01,X线计算机体层(CT)增强扫描--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
927,N210300002_02,X线计算机体层(螺旋CT)增强扫描--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
928,N210300002_03,X线计算机体层(CT)增强扫描+三维重建--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
929,N210300002_04,X线计算机体层(螺旋CT)增强扫描+三维重建--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
930,N210300002_05,X线计算机体层(CT)增强扫描+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
931,N210300002_06,X线计算机体层(螺旋CT)增强扫描+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
932,N210300002_07,X线计算机体层(CT)增强扫描+三维重建+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
933,N210300002_08,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
934,N210300002_10,X线计算机体层(螺旋CT)增强扫描+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
935,N210300002_12,X线计算机体层(螺旋CT)增强扫描+三维重建+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
936,N210300002_14,X线计算机体层(螺旋CT)增强扫描+单次多层+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
937,N210300002_15,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
938,N210300002_16,X线计算机体层(CT)增强扫描--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
939,N210300002_17,X线计算机体层(螺旋CT)增强扫描--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
940,N210300002_18,X线计算机体层(CT)增强扫描+三维重建--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
941,N210300002_19,X线计算机体层(螺旋CT)增强扫描+三维重建--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
942,N210300002_20,X线计算机体层(CT)增强扫描+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
943,N210300002_21,X线计算机体层(螺旋CT)增强扫描+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
944,N210300002_22,X线计算机体层(CT)增强扫描+三维重建+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
945,N210300002_23,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
946,N210300002_24,X线计算机体层(螺旋CT)增强扫描+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
947,N210300002_25,X线计算机体层(螺旋CT)增强扫描+三维重建+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
948,N210300002_26,X线计算机体层(螺旋CT)增强扫描+单次多层+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
949,N210300002_27,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
950,N210300002_28,X线计算机体层(CT)增强扫描--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
951,N210300002_29,X线计算机体层(螺旋CT)增强扫描--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
952,N210300002_30,X线计算机体层(CT)增强扫描+三维重建--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
953,N210300002_31,X线计算机体层(螺旋CT)增强扫描+三维重建--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
954,N210300002_32,X线计算机体层(CT)增强扫描+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
955,N210300002_33,X线计算机体层(螺旋CT)增强扫描+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
956,N210300002_34,X线计算机体层(CT)增强扫描+三维重建+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
957,N210300002_35,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
958,N210300002_36,X线计算机体层(螺旋CT)增强扫描+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
959,N210300002_37,X线计算机体层(螺旋CT)增强扫描+三维重建+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
960,N210300002_38,X线计算机体层(螺旋CT)增强扫描+单次多层+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
961,N210300002_39,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
962,N210300002_40,X线计算机体层(CT)增强扫描--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
963,N210300002_41,X线计算机体层(螺旋CT)增强扫描--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
964,N210300002_42,X线计算机体层(CT)增强扫描+三维重建--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
965,N210300002_43,X线计算机体层(螺旋CT)增强扫描+三维重建--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
966,N210300002_44,X线计算机体层(CT)增强扫描+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
967,N210300002_45,X线计算机体层(螺旋CT)增强扫描+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
968,N210300002_46,X线计算机体层(CT)增强扫描+三维重建+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
969,N210300002_47,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
970,N210300002_48,X线计算机体层(螺旋CT)增强扫描+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
971,N210300002_49,X线计算机体层(螺旋CT)增强扫描+三维重建+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
972,N210300002_50,X线计算机体层(螺旋CT)增强扫描+单次多层+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
973,N210300002_51,X线计算机体层(螺旋CT)增强扫描+三维重建+单次多层+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
974,N210300003_01,脑池X线计算机体层(CT)含气造影--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
975,N210300003_02,脑池X线计算机体层(螺旋CT)含气造影--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
976,N210300003_03,脑池X线计算机体层(CT)含气造影+三维重建--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
977,N210300003_04,脑池X线计算机体层(螺旋CT)含气造影+三维重建--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
978,N210300003_05,脑池X线计算机体层(CT)含气造影+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
979,N210300003_06,脑池X线计算机体层(螺旋CT)含气造影+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
980,N210300003_07,脑池X线计算机体层(CT)含气造影+三维重建+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
981,N210300003_08,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
982,N210300003_10,脑池X线计算机体层(螺旋CT)含气造影+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
983,N210300003_12,脑池X线计算机体层(螺旋CT)含气造影+三维重建+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
984,N210300003_14,脑池X线计算机体层(螺旋CT)含气造影+单次多层+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
985,N210300003_15,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
986,N210300003_16,脑池X线计算机体层(CT)含气造影--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
987,N210300003_17,脑池X线计算机体层(螺旋CT)含气造影--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
988,N210300003_18,脑池X线计算机体层(CT)含气造影+三维重建--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
989,N210300003_19,脑池X线计算机体层(螺旋CT)含气造影+三维重建--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
990,N210300003_20,脑池X线计算机体层(CT)含气造影+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
991,N210300003_21,脑池X线计算机体层(螺旋CT)含气造影+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
992,N210300003_22,脑池X线计算机体层(CT)含气造影+三维重建+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
993,N210300003_23,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
994,N210300003_24,脑池X线计算机体层(螺旋CT)含气造影+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
995,N210300003_25,脑池X线计算机体层(螺旋CT)含气造影+三维重建+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
996,N210300003_26,脑池X线计算机体层(螺旋CT)含气造影+单次多层+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
997,N210300003_27,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
998,N210300003_28,脑池X线计算机体层(CT)含气造影--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
999,N210300003_29,脑池X线计算机体层(螺旋CT)含气造影--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1000,N210300003_30,脑池X线计算机体层(CT)含气造影+三维重建--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1001,N210300003_31,脑池X线计算机体层(螺旋CT)含气造影+三维重建--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1002,N210300003_32,脑池X线计算机体层(CT)含气造影+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1003,N210300003_33,脑池X线计算机体层(螺旋CT)含气造影+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1004,N210300003_34,脑池X线计算机体层(CT)含气造影+三维重建+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1005,N210300003_35,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1006,N210300003_36,脑池X线计算机体层(螺旋CT)含气造影+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1007,N210300003_37,脑池X线计算机体层(螺旋CT)含气造影+三维重建+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1008,N210300003_38,脑池X线计算机体层(螺旋CT)含气造影+单次多层+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1009,N210300003_39,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1010,N210300003_40,脑池X线计算机体层(CT)含气造影--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1011,N210300003_41,脑池X线计算机体层(螺旋CT)含气造影--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1012,N210300003_42,脑池X线计算机体层(CT)含气造影+三维重建--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1013,N210300003_43,脑池X线计算机体层(螺旋CT)含气造影+三维重建--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1014,N210300003_44,脑池X线计算机体层(CT)含气造影+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1015,N210300003_45,脑池X线计算机体层(螺旋CT)含气造影+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1016,N210300003_46,脑池X线计算机体层(CT)含气造影+三维重建+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1017,N210300003_47,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1018,N210300003_48,脑池X线计算机体层(螺旋CT)含气造影+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1019,N210300003_49,脑池X线计算机体层(螺旋CT)含气造影+三维重建+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1020,N210300003_50,脑池X线计算机体层(螺旋CT)含气造影+单次多层+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1021,N210300003_51,脑池X线计算机体层(螺旋CT)含气造影+三维重建+单次多层+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1022,N210300004_01,X线计算机体层(CT)成象,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1023,N210300004_02,X线计算机体层(CT)成象--使用心电或呼吸门控设备,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1024,N210300005_01,临床操作的(CT)引导--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1025,N210300005_02,临床操作的(螺旋CT)引导--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1026,N210300005_03,临床操作的(CT)引导+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1027,N210300005_04,临床操作的(螺旋CT)引导+门控--特等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1028,N210300005_05,临床操作的(CT)引导--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1029,N210300005_06,临床操作的(螺旋CT)引导--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1030,N210300005_07,临床操作的(CT)引导+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1031,N210300005_08,临床操作的(螺旋CT)引导+门控--A等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1032,N210300005_09,临床操作的(CT)引导--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1033,N210300005_10,临床操作的(螺旋CT)引导--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1034,N210300005_11,临床操作的(CT)引导+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1035,N210300005_12,临床操作的(螺旋CT)引导+门控--B等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1036,N210300005_13,临床操作的(CT)引导--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1037,N210300005_14,临床操作的(螺旋CT)引导--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1038,N210300005_15,临床操作的(CT)引导+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1039,N210300005_16,临床操作的(螺旋CT)引导+门控--C等,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1040,N210400001_00,院外影像学会诊,医疗服务费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
1041,N210500001_00,红外热象检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1042,N210500002_00,红外线乳腺检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1043,N210500003_00,计算机断层扫描激光乳腺成像,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1044,N210500003_02,电脑图文超细乳管内视镜检查,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1045,N210500004_00,TBO双波长乳腺肿瘤检测,检查费,乙类,属于,属于,不属于,先支付30%,无先支付,先支付30%
1046,N220100001_00,A型超声检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1047,N220100002_00,临床操作的A超引导,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1048,N220100003_00,眼部A超,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1049,N220201001_01,单脏器B超检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1050,N220201001_02,脏器B超检查加收,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1051,N220201001_03,产科B超检查,检查费,全自费,属于,属于,属于,先支付100%,无先支付,先支付100%
1052,N220201002_00,B超常规检查,检查费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
1053,N220201003_00,胸腹水B超检查及穿刺定位,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1054,N220201004_00,胃肠充盈造影B超检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1055,N220201005_00,大肠灌肠造影B超检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1056,N220201006_00,输卵管超声造影,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1057,N220201007_01,浅表组织器官B超检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1058,N220201007_02,浅表组织器官B超检查--每增加一个部位加收,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1059,N220201008_01,床旁B超检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1060,N220201008_02,术中B超检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1061,N220201009_00,临床操作的B超引导,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1062,N220202001_00,经阴道B超检查,检查费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
1063,N220202002_00,经直肠B超检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1064,N220202003_00,临床操作的腔内B超引导,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1065,N220203001_00,胃充盈及排空功能检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1066,N220203002_00,小肠充盈及排空功能检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1067,N220203003_00,胆囊和胆道收缩功能检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1068,N220203004_00,胎儿生物物理相评分,检查费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
1069,N220203005_00,膀胱残余尿量测定,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1070,N220300000_00,彩色多普勒超声检查--设备在300万元以上加收,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1071,N220301001_01,彩色多普勒超声常规检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1072,N220301001_02,彩色多普勒超声常规检查--每增加一个部位加收,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1073,N220301001_03,彩色多普勒超声常规检查产科检查(含胎儿及宫腔)加收,检查费,乙类,属于,属于,属于,先支付30%,无先支付,先支付30%
1074,N220301001_04,彩色多普勒超声常规检查产科检查（双胎及多胎）加收,检查费,乙类,属于,属于,属于,先支付30%,无先支付,先支付30%
1075,N220301001_05,彩色多普勒超声常规检查产科检查(胎儿心脏检查)加收,检查费,乙类,属于,属于,属于,先支付30%,无先支付,先支付30%
1076,N220301001_06,超声弹性成像加收,检查费,乙类,属于,属于,不属于,先支付30%,无先支付,先支付30%
1077,N220301002_00,浅表器官彩色多普勒超声检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1078,N220302001_01,颅内段血管彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1079,N220302001_02,颅内段血管彩色多普勒超声--特等微栓子监测一小时以上,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1080,N220302002_00,球后全部血管彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1081,N220302003_01,颈部血管彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1082,N220302003_02,颈部血管彩色多普勒超声--每增加两根加收,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1083,N220302003_03,颈动脉彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1084,N220302003_04,颈静脉彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1085,N220302003_05,椎动脉彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1086,N220302004_00,门静脉系彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1087,N220302005_00,腹部大血管彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1088,N220302006_01,四肢血管彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1089,N220302006_02,四肢血管彩色多普勒超声--每增加两根,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1090,N220302007_00,双肾及肾血管彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1091,N220302008_00,左肾静脉“胡桃夹”综合征检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1092,N220302009_00,药物血管功能试验,检查费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
1093,N220302010_00,脏器声学造影,检查费,乙类,属于,属于,不属于,先支付30%,无先支付,先支付30%
1094,N220302010_01,肿瘤声学造影,检查费,乙类,属于,属于,不属于,先支付30%,无先支付,先支付30%
1095,N220302011_01,腔内彩色多普勒超声检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1096,N220302011_02,经阴道腔内彩色多普勒超声检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1097,N220302011_03,经直肠腔内彩色多普勒超声检查,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1098,N220302012_00,临床操作的彩色多普勒超声引导,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1099,N220400001_01,颅内多普勒血流图(TCD),检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1100,N220400001_02,颅内多普勒血流图(TCD)--术中监测加收,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1101,N220400002_00,四肢多普勒血流图,检查费,全自费,属于,属于,属于,先支付100%,无先支付,先支付100%
1102,N220400003_00,多普勒小儿血压检测,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1103,N220500001_00,脏器灰阶立体成象,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1104,N220500002_00,能量图血流立体成象,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1105,N220600001_00,普通心脏M型超声检查,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1106,N220600002_00,普通二维超声心动图,检查费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
1107,N220600003_00,床旁超声心动图,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1108,N220600004_00,心脏彩色多普勒超声,检查费,乙类,属于,不属于,属于,先支付30%,无先支付,先支付30%
1109,N220600005_00,常规经食管超声心动图,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1110,N220600006_00,术中经食管超声心动图,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1111,N220600007_00,介入治疗的超声心动图监视,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1112,N220600008_00,右心声学造影,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1113,N220600009_01,负荷超声心动图,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1114,N220600009_02,负荷超声心动图药物注射试验,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1115,N220600009_03,负荷超声心动图运动试验,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1116,N220600010_00,左心功能测定,检查费,乙类,属于,不属于,不属于,先支付30%,无先支付,先支付30%
1117,N220700001_00,计算机三维重建技术(3DE),检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1118,N220700002_00,声学定量(AQ),检查费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
1119,N220700003_00,彩色室壁动力(CK),检查费,全自费,属于,属于,属于,先支付100%,无先支付,先支付100%
1120,N220700004_00,组织多普勒显象(TDI),检查费,乙类,属于,属于,不属于,先支付30%,无先支付,先支付30%
1121,N220700005_00,心内膜自动边缘检测,检查费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
1122,N220700006_00,室壁运动分析,检查费,全自费,属于,属于,属于,先支付100%,无先支付,先支付100%
1123,N220700007_00,心肌灌注超声检测,检查费,乙类,属于,属于,不属于,先支付30%,无先支付,先支付30%
1124,N220800001_00,黑白热敏打印照片,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1125,N220800002_00,彩色打印照片,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
1126,N220800003_00,黑白一次成象(波拉)照片,检查费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
