2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
608,艾司洛尔,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
609,麻黄碱,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
610,维生素A,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
611,维生素B1,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
612,维生素B2,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
613,维生素B6,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
614,维生素B12,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
615,维生素B1,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
616,维生素B2,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
617,维生素B6,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
618,烟酸,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
619,烟酸,西药,缓释控释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
620,烟酸,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
621,烟酰胺,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,△,先支付5%,无先支付,先支付5%
622,烟酰胺,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
623,维生素B12,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
624,维生素C,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
625,维生素C,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
626,维生素D2,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
627,维生素D2,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
628,维生素D3,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
629,维生素D3,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
630,小儿碳酸钙D3,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,限小儿佝偻病,先支付5%,无先支付,先支付5%
631,复合维生素B,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
632,干酵母,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
633,水溶性维生素,西药,注射剂,乙类,属于,属于,属于,处方用药,限与脂肪乳、氨基酸等肠外营养药物配合使用时支付，单独使用不予支付,先支付10%,无先支付,先支付10%
634,"脂溶性维生素(I,II)",西药,注射剂,乙类,属于,属于,属于,处方用药,限与脂肪乳、氨基酸等肠外营养药物配合使用时支付，单独使用不予支付,先支付10%,无先支付,先支付10%
635,12种复合维生素(限配合肠外营养用),西药,注射剂,乙类,属于,属于,属于,处方用药,限配合肠外营养用,先支付20%,无先支付,先支付20%
636,十维铁,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付20%,无先支付,先支付20%
637,复合维生素B,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
638,维生素E,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
639,维生素AD,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
640,维生素AD,西药,口服液体剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
641,葡萄糖酸钙,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
642,葡萄糖酸钙,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,△,先支付5%,无先支付,先支付5%
643,葡萄糖酸钙,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
644,氯化钙,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
645,碳酸钙,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
646,碳酸钙,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
647,碳酸钙D3,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
648,碳酸钙D3(限佝偻病),西药,颗粒剂,乙类,属于,属于,属于,处方用药,限佝偻病,先支付5%,无先支付,先支付5%
649,枸橼酸苹果酸钙,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付20%,无先支付,先支付20%
650,"多种微量元素(I,II)(限配合肠外营养用)",西药,注射剂,乙类,属于,属于,属于,处方用药,限配合肠外营养用,先支付5%,无先支付,先支付5%
651,硫酸锌,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△；限有锌缺乏检验证据的患者,先支付10%,无先支付,先支付10%
652,硫酸锌,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,△；限有锌缺乏检验证据的患者,先支付10%,无先支付,先支付10%
653,硒酵母,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
654,甘草锌,西药,颗粒剂,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
655,复方氨基酸[18AA18AA-I18AA-Ⅱ18AA-Ⅲ(18AAF)18AA-Ⅴ],西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
656,复方氨基酸(19AA-Ⅰ)(限儿童),西药,注射剂,乙类,不属于,属于,属于,处方用药,限儿童,先支付5%,无先支付,先支付5%
657,氨基酸,西药,注射剂,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
658,小儿复方氨基酸(18AA-Ⅰ、Ⅱ),西药,注射剂,甲类,属于,属于,属于,非处方用药,,无先支付,无先支付,无先支付
659,小儿复方氨基酸(19AA-Ⅰ),西药,注射剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
660,复方氨基酸(9AA),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
661,复方氨基酸(3AA),西药,注射剂,乙类,属于,属于,属于,处方用药,限有明确的肝硬化、重症肝炎和肝昏迷诊断证据,先支付5%,无先支付,先支付5%
662,复方氨基酸(6AA),西药,注射剂,乙类,属于,属于,属于,处方用药,限有明确的肝硬化、重症肝炎和肝昏迷诊断证据,先支付10%,无先支付,先支付10%
663,复方氨基酸(20AA),西药,注射剂,乙类,属于,属于,属于,处方用药,限有明确的肝硬化、重症肝炎和肝昏迷诊断证据,先支付10%,无先支付,先支付10%
664,复方氨基酸(15AA),西药,注射剂,乙类,属于,属于,属于,处方用药,限有明确的肝硬化、重症肝炎和肝昏迷诊断证据,先支付10%,无先支付,先支付10%
665,"复方氨基酸(18AA-Ⅶ,18B)",西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
666,赖氨酸(限急性颅脑损伤),西药,注射剂,乙类,属于,属于,属于,处方用药,限急性颅脑损伤,先支付10%,无先支付,先支付10%
667,丙氨酰谷氨酰胺,西药,注射剂,乙类,属于,属于,属于,处方用药,限有禁食医嘱的患者，并符合凡例对肠内外营养制剂的规定,先支付10%,无先支付,先支付10%
668,脂肪乳(C14-24)(大豆油),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
669,ω-3鱼油脂肪乳(C14-24)(限中重度炎症及感染患者),西药,注射剂,乙类,属于,属于,属于,处方用药,限中重度炎症及感染患者,先支付20%,无先支付,先支付20%
670,中/长链脂肪乳(C6-24),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
671,"中/长链脂肪乳(C8-24,Ve)",西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
672,结构脂肪乳(C6-24),西药,注射剂,乙类,属于,属于,属于,非处方用药,限肝硬化失代偿期患者,先支付10%,无先支付,先支付10%
673,脂肪乳氨基酸葡萄糖,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付30%,无先支付,先支付30%
674,氨基酸型肠内营养剂,西药,口服散剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付20%,无先支付,先支付20%
675,短肽型肠内营养剂,西药,口服液体剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付20%,无先支付,先支付20%
676,短肽型肠内营养剂,西药,口服散剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付20%,无先支付,先支付20%
677,疾病特异型肠内营养剂,西药,口服液体剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付10%,无先支付,先支付10%
678,疾病特异型肠内营养剂,西药,口服散剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付10%,无先支付,先支付10%
679,整蛋白型肠内营养剂,西药,口服液体剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付20%,无先支付,先支付20%
680,整蛋白型肠内营养剂,西药,口服散剂,乙类,属于,属于,属于,处方用药,◇;限有营养风险和不能进食的重症患者,先支付20%,无先支付,先支付20%
681,复方α-酮酸,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
682,木糖醇,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
683,钠钾镁钙葡萄糖,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
684,转化糖电解质(限糖耐量异常或应激状态病人使用),西药,注射剂,乙类,属于,属于,属于,处方用药,限糖耐量异常或应激状态病人使用,先支付10%,无先支付,先支付10%
685,促皮质素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
686,去氨加压素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
687,绒促性素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
688,垂体后叶,西药,吸入剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
689,戈那瑞林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
690,戈舍瑞林,西药,其它剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
691,戈舍瑞林,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
692,亮丙瑞林微球,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
693,尿促性素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
694,曲普瑞林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
695,去氨加压素,西药,吸入剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
696,去氨加压素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
697,鞣酸加压素,西药,吸入剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
698,鞣酸加压素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
699,重组人生长激素(限儿童),西药,注射剂,乙类,属于,属于,属于,处方用药,限儿童原发性生长激素缺乏症,先支付5%,无先支付,先支付5%
700,特利加压素,西药,注射剂,乙类,属于,属于,属于,非处方用药,限食管静脉曲张出血抢救,先支付10%,无先支付,先支付10%
701,地塞米松,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
702,地塞米松,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
703,泼尼松,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
704,氢化可的松,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
705,氢化可的松,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
706,倍他米松,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
707,倍他米松,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
708,甲泼尼龙,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
709,甲泼尼龙,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
710,可的松,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
711,泼尼松龙,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
712,泼尼松龙,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
713,曲安奈德,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
714,曲安西龙,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
715,曲安西龙,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
716,地塞米松磷酸钠,西药,注射剂,甲类,属于,属于,属于,非处方用药,,无先支付,无先支付,无先支付
717,丙酸睾酮,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
718,甲睾酮,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
719,达那唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
720,普拉睾酮,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
721,十一酸睾酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
722,十一酸睾酮,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
723,苯丙酸诺龙,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
724,司坦唑醇,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
725,替勃龙,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
726,己烯雌酚,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
727,己烯雌酚,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
728,苯甲酸雌二醇,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
729,雌二醇,西药,凝胶剂,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
730,结合雌激素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
731,结合雌激素/甲羟孕酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
732,尼尔雌醇,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
733,炔雌醇,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
734,戊酸雌二醇,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
735,烯丙雌醇,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
736,黄体酮,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
737,甲羟孕酮,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
738,地屈孕酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
739,黄体酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
740,黄体酮,西药,栓剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
741,己酸羟孕酮,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
742,甲地孕酮,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
743,甲羟孕酮,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
744,炔诺酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
745,炔诺酮,西药,丸剂,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
746,炔雌醇环丙孕酮,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限多囊卵巢综合症,先支付10%,无先支付,先支付10%
747,孕三烯酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
748,米非司酮(限生育保险),西药,口服常释剂型,乙类,不属于,不属于,属于,处方用药,限生育保险,先支付100%,先支付100%,先支付100%
749,短效胰岛素(动物源胰岛素),西药,注射剂,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
750,中效胰岛素(动物源胰岛素),西药,注射剂,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
751,长效胰岛素(动物源胰岛素),西药,注射剂,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
752,预混胰岛素(动物源胰岛素),西药,注射剂,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
753,门冬胰岛素50,西药,注射剂,乙类,属于,属于,属于,非处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
754,门冬胰岛素30,西药,注射剂,乙类,属于,属于,属于,非处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
755,精蛋白锌重组赖脯胰岛素(混合25R),西药,注射剂,乙类,属于,属于,属于,非处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
756,精蛋白锌重组赖脯胰岛素(混合50R),西药,注射剂,乙类,属于,属于,属于,非处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
757,短效胰岛素(重组人胰岛素),西药,注射剂,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
758,中效胰岛素(重组人胰岛素),西药,注射剂,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
759,不同比例预混人胰岛素(重组人胰岛素),西药,注射剂,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
760,门冬胰岛素,西药,注射剂,乙类,属于,属于,属于,处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
761,赖脯胰岛素,西药,注射剂,乙类,属于,属于,属于,处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
762,谷赖胰岛素,西药,注射剂,乙类,属于,属于,属于,非处方用药,◇；限Ⅰ型糖尿病患者；其他短效胰岛素和口服药难以控制的Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
763,甘精胰岛素,西药,注射剂,乙类,属于,属于,属于,处方用药,◇；限Ⅰ型糖尿病患者；中长效胰岛素难以控制的其他Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
764,重组甘精胰岛素,西药,注射剂,乙类,属于,属于,属于,处方用药,◇；限Ⅰ型糖尿病患者；中长效胰岛素难以控制的其他Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
765,地特胰岛素,西药,注射剂,乙类,属于,属于,属于,处方用药,◇；限Ⅰ型糖尿病患者；中长效胰岛素难以控制的其他Ⅱ型糖尿病患者,先支付10%,无先支付,先支付10%
766,格列本脲,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
767,格列吡嗪,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
768,格列吡嗪,西药,缓释控释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
769,格列喹酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
770,格列美脲,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
771,格列齐特,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
772,格列齐特,西药,缓释控释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
773,那格列奈,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
774,瑞格列奈,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
775,米格列奈钙,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
776,二甲双胍,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
777,二甲双胍,西药,缓释控释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
778,阿卡波糖,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
779,伏格列波糖,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
780,米格列醇,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
781,吡格列酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
782,罗格列酮,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
783,硫辛酸（α-硫辛酸）,西药,注射剂,乙类,属于,属于,属于,处方用药,限有明确痛性糖尿病外周神经病变诊断的患者,先支付20%,无先支付,先支付20%
784,依帕司他,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
785,阿格列汀,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限二线用药,先支付10%,无先支付,先支付10%
786,利格列汀,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限二线用药,先支付10%,无先支付,先支付10%
787,沙格列汀,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限二线用药,先支付10%,无先支付,先支付10%
788,维格列汀,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限二线用药,先支付10%,无先支付,先支付10%
789,西格列汀,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限二线用药,先支付10%,无先支付,先支付10%
790,甲状腺片,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
791,碘塞罗宁,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
792,左旋甲状腺素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
793,丙硫氧嘧啶,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
794,复方碘溶液,西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
795,甲巯咪唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
796,卡比马唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
797,降钙素(限高钙血症患者和工伤保险),西药,注射剂,乙类,属于,属于,属于,处方用药,限高钙血症患者和工伤保险,先支付5%,无先支付,先支付5%
798,降钙素(限高钙血症患者和工伤保险),西药,吸入剂,乙类,属于,属于,属于,处方用药,限高钙血症患者和工伤保险,先支付10%,无先支付,先支付10%
799,阿仑膦酸钠(限中重度骨质疏松),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限中重度骨质疏松,先支付10%,无先支付,先支付10%
800,利塞膦酸钠(限中重度骨质疏松),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限中重度骨质疏松,先支付20%,无先支付,先支付20%
801,氯膦酸二钠(限癌症骨转移),西药,注射剂,乙类,属于,属于,属于,处方用药,限癌症骨转移,先支付20%,无先支付,先支付20%
802,氯膦酸二钠(限癌症骨转移),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限癌症骨转移,先支付20%,无先支付,先支付20%
803,帕米膦酸二钠(帕米膦酸二钠葡萄糖),西药,注射剂,乙类,属于,属于,属于,处方用药,限癌症骨转移,先支付10%,无先支付,先支付10%
804,羟乙膦酸钠(限中重度骨质疏松),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限中重度骨质疏松,先支付5%,无先支付,先支付5%
805,唑来膦酸(限重度骨质疏松或癌症骨转移),西药,注射剂,乙类,属于,属于,属于,处方用药,限重度骨质疏松或癌症骨转移,先支付20%,无先支付,先支付20%
806,伊班膦酸,西药,注射剂,乙类,属于,属于,属于,非处方用药,限重度骨质疏松或恶性肿瘤骨转移并有明显癌痛的患者,先支付20%,无先支付,先支付20%
807,因卡膦酸二钠,西药,注射剂,乙类,属于,属于,属于,非处方用药,限恶性肿瘤骨转移并有明显癌痛的患者,先支付20%,无先支付,先支付20%
808,阿法骨化醇,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限中、重度骨质疏松；肾性骨病；甲状旁腺功能减退症,先支付5%,无先支付,先支付5%
809,骨化三醇,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限中、重度骨质疏松；肾性骨病；甲状旁腺功能减退症,先支付10%,无先支付,先支付10%
810,骨化三醇,西药,注射剂,乙类,属于,属于,属于,非处方用药,限肾透析并有低钙血症的患者,先支付10%,无先支付,先支付10%
811,雷奈酸锶(限重度骨质疏松),西药,口服液体剂,乙类,属于,属于,属于,处方用药,限重度骨质疏松,先支付10%,无先支付,先支付10%
812,胆维丁,西药,口服乳剂,乙类,属于,属于,属于,非处方用药,限婴幼儿佝偻病,先支付5%,无先支付,先支付5%
813,帕立骨化醇,西药,注射剂,乙类,属于,属于,属于,非处方用药,限血透且有继发性甲状旁腺功能亢进的患者,先支付10%,无先支付,先支付10%
814,西那卡塞,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限血透且有继发性甲状旁腺功能亢进的患者,先支付10%,无先支付,先支付10%
815,高血糖素(生物合成高血糖素)(限严重低血糖症和儿童),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
816,溴隐亭,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
817,胰激肽原酶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有糖尿病诊断且有微循环障碍临床证据的患者,先支付10%,无先支付,先支付10%
818,胰激肽原酶,西药,注射剂,乙类,属于,属于,属于,处方用药,限有糖尿病诊断且有微循环障碍临床证据的患者,先支付5%,无先支付,先支付5%
819,环孢素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
820,环孢素,西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
821,环孢素,西药,滴眼剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
822,环孢素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
